time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T03:55:22.390Z,32.9661667,-115.5478333,3.66,1.4,ml,20,93,0.06542,0.23,ci,ci37776520,2017-01-01T03:59:01.774Z,"2km SW of Brawley, CA",earthquake,0.38,0.6,0.19,27,automatic,ci,ci
2017-01-01T04:02:28.700Z,32.956,-115.5486667,2.7,1.26,ml,18,84,0.05531,0.3,ci,ci37776528,2017-01-01T04:06:03.498Z,"3km SW of Brawley, CA",earthquake,0.56,0.76,0.259,24,automatic,ci,ci
2017-01-01T04:08:32.380Z,32.9793333,-115.5471667,10.85,2.77,ml,44,77,0.06562,0.25,ci,ci37776536,2017-01-03T19:50:15.240Z,"2km W of Brawley, CA",earthquake,0.21,0.5,0.214,76,reviewed,ci,ci
2017-01-01T04:13:20.360Z,32.9688333,-115.5455,5.58,2,ml,25,87,0.06838,0.26,ci,ci37776544,2017-01-01T04:23:48.770Z,"2km SW of Brawley, CA",earthquake,0.42,0.96,0.223,27,automatic,ci,ci
2017-01-01T04:15:12.020Z,32.9745,-115.5465,1.22,2.03,ml,27,87,0.0702,0.28,ci,ci37776552,2017-01-01T04:25:59.370Z,"2km WSW of Brawley, CA",earthquake,0.37,0.72,0.234,25,automatic,ci,ci
2017-01-01T04:15:49.550Z,32.9586667,-115.5511667,6.22,1.96,ml,11,89,0.0576,0.21,ci,ci37776560,2017-01-01T04:19:32.436Z,"3km SW of Brawley, CA",earthquake,0.56,1.62,0.16,5,automatic,ci,ci
2017-01-01T04:16:39.340Z,32.9715,-115.5533333,5.36,1.49,ml,18,92,0.07011,0.19,ci,ci37776568,2017-01-01T04:20:19.696Z,"2km WSW of Brawley, CA",earthquake,0.39,0.87,0.199,25,automatic,ci,ci
2017-01-01T04:20:47.490Z,32.9621667,-115.5493333,6.04,1.6,ml,21,85,0.06128,0.25,ci,ci37776576,2017-01-01T04:24:23.838Z,"3km SW of Brawley, CA",earthquake,0.42,1.35,0.228,27,automatic,ci,ci
2017-01-01T04:24:59.260Z,32.9521667,-115.5603333,2.76,1.22,ml,15,108,0.05056,0.23,ci,ci37776584,2017-01-01T04:28:29.679Z,"4km SW of Brawley, CA",earthquake,0.47,0.62,0.188,16,automatic,ci,ci
2017-01-01T04:30:56.100Z,17.9936,-66.7594,5,2,Md,3,198,0.18954452,0.2,pr,pr17001001,2017-01-01T04:53:32.955Z,"2km SSE of Magas Arriba, Puerto Rico",earthquake,2.2,1.2,0,3,reviewed,pr,pr
2017-01-01T04:31:13.120Z,38.3589,-118.9054,9.4,0.9,ml,7,127.78,0.147,0.24,nn,nn00571834,2017-01-01T15:39:00.082Z,"30km SW of Hawthorne, Nevada",earthquake,,3.5,0.34,5,reviewed,nn,nn
2017-01-01T04:32:29.300Z,17.9654,-65.6244,3,3.2,Md,13,165.6,0.27578279,0.46,pr,pr17001002,2017-01-01T05:10:00.449Z,"21km SW of Esperanza, Puerto Rico",earthquake,1.3,0.9,0,10,reviewed,pr,pr
2017-01-01T04:33:46.500Z,17.8556,-65.644,9,1.7,Md,3,244.8,0.34585138,0.2,pr,pr17001000,2017-01-01T04:51:31.700Z,"29km ESE of Emajagua, Puerto Rico",earthquake,1.2,1.9,0,3,reviewed,pr,pr
2017-01-01T04:36:07.060Z,32.9593333,-115.5533333,6.75,1.36,ml,16,74,0.05804,0.26,ci,ci37776600,2017-01-03T18:50:19.576Z,"3km SW of Brawley, CA",earthquake,0.46,1.08,0.169,25,reviewed,ci,ci
